,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
97,月形町,北海道,1,2015,20150401,94,43.1,3328,9509,63,41.9,3161,9222,月形町,174200,−,142100,6,6,6860,6010,2680,2140,1738,5690,26.4.1,16.1.1,26.4.1,Ⅰ−０
98,浦臼町,北海道,1,2015,20150401,53,41.3,3117,8796,45,41.3,3111,8798,浦臼町,174200,154800,142100,−,2,6872,5813,2480,1970,1650,5412,26.4.1,20.9.1,26.4.1,Ⅰ−０
99,新十津川町,北海道,1,2015,20150401,99,41.8,3147,9121,81,42.3,3197,9333,新十津川町,174200,154800,142100,4,3,6630,6030,2790,2210,1890,5540,26.4.1,26.4.1,26.4.1,Ⅱ−０
100,妹背牛町,北海道,1,2015,20150401,64,44.0,3392,10089,56,44.4,3428,10302,妹背牛町,174200,154800,142100,2,2,6202,5994,2680,2120,1770,5319,27.1.1,18.4.1,27.1.1,Ⅰ−０
101,秩父別町,北海道,1,2015,20150401,48,40.9,3119,8577,37,39.6,2997,8211,秩父別町,174200,154800,142100,1,4,7890,6420,2680,2120,1819,5760,27.4.1,27.4.1,27.4.1,Ⅰ−０
102,雨竜町,北海道,1,2015,20150401,50,42.5,3325,9843,41,42.7,3305,9854,雨竜町,174200,154800,142100,4,1,8280,6670,2630,2090,1750,5930,27.4.1,15.4.1,27.4.1,Ⅰ−０
103,北竜町,北海道,1,2015,20150401,89,36.8,2913,8232,48,39.8,3089,9015,北竜町,174200,154800,142100,7,8,6640,6020,2680,2120,1770,5520,24.5.1,15.12.1,26.4.1,Ⅰ−０
104,沼田町,北海道,1,2015,20150401,123,37.4,2724,7706,67,41.1,3139,9264,沼田町,174200,154800,142100,7,10,6780,6040,2610,2060,1780,5540,26.4.1,18.4.1,26.4.1,Ⅰ−０
105,鷹栖町,北海道,1,2015,20150401,93,38.3,2866,7917,70,38.1,2901,8253,鷹栖町,174200,151800,142100,6,8,6800,5700,2500,1900,1650,5400,18.4.1,15.4.1,18.4.1,Ⅱ−０
106,東神楽町,北海道,1,2015,20150401,116,42.7,3283,9257,81,42.6,3260,9238,東神楽町,174200,154800,142100,2,4,7000,5900,2420,1890,1630,5500,21.1.1,19.5.1,21.1.1,Ⅲ−２
107,当麻町,北海道,1,2015,20150401,107,40.9,3112,9303,80,40.5,3042,9020,当麻町,174200,154800,142100,4,4,7500,5950,2500,1950,1700,5650,27.4.1,27.4.1,27.4.1,Ⅱ−０
108,比布町,北海道,1,2015,20150401,68,39.2,3034,8479,57,38.9,3016,8460,比布町,174200,154800,142100,1,1,6460,5560,2250,1700,1500,5190,27.4.1,18.4.1,27.4.1,Ⅰ−０
109,愛別町,北海道,1,2015,20150401,74,38.0,2826,8025,59,38.3,2853,8200,愛別町,174200,154800,142100,3,4,6000,5440,2320,1790,1580,5190,17.7.1,10.4.1,15.10.1,Ⅰ−０
110,上川町,北海道,1,2015,20150401,133,43.2,3367,9745,86,43.8,3364,9986,上川町,174200,151800,142100,5,8,7450,6130,2493,2086,1798,5600,22.12.1,24.4.1,22.12.1,Ⅰ−２
111,東川町,北海道,1,2015,20150401,109,42.8,3260,9359,68,43.1,3233,9461,東川町,174200,154800,142100,8,3,7750,6160,2610,2080,1760,5800,26.4.1,26.4.1,26.4.1,Ⅱ−０
112,美瑛町,北海道,1,2015,20150401,201,40.3,3180,8830,115,38.9,2992,8648,美瑛町,174200,154800,142100,13,17,7800,6220,2780,2200,1810,5600,18.7.1,24.4.1,18.7.1,Ⅲ−０
113,上富良野町,北海道,1,2015,20150401,184,42.8,3324,8986,109,42.1,3205,8697,上富良野町,174200,151800,142100,8,11,7200,6000,2750,2050,1700,5550,26.4.1,15.7.1,26.4.1,Ⅲ−２
114,中富良野町,北海道,1,2015,20150401,114,41.4,3140,9182,63,39.3,2973,8669,中富良野町,174200,151800,142100,6,7,7000,5760,2450,1870,1600,5280,23.11.1,16.1.1,23.11.1,Ⅱ−０
115,南富良野町,北海道,1,2015,20150401,92,42.2,3219,9347,70,43.4,3257,9558,南富良野町,174200,154800,142100,11,9,7100,5900,2400,1910,1610,5400,24.10.1,16.4.1,24.10.1,Ⅰ−０
