,time_pm,jyorei_nendo,市町村名
58,宮崎県美郷町,2011.0,1
59,山ロ県下関市,2009.0,1
60,山ロ県山ロ市,2011.0,1
61,山ロ県岩国市,2009.0,1
62,山ロ県防府市,2010.0,1
63,岡山県岡山市,2009.0,1
64,岡山県岡山市,2010.0,1
65,岡山県総社市,2011.0,1
66,岩手県一関市,2009.0,1
67,岩手県八幡平市,2011.0,1
68,岩手県奥州市,2011.0,1
69,岩手県盛岡市,2010.0,1
70,島根県安来市,2011.0,1
71,島根県益田市,2011.0,1
72,広島県世羅町,2010.0,1
73,広島県府中市,2010.0,1
74,徳島県勝浦町,2011.0,1
75,愛媛県松野町,2010.0,2
76,愛知県あま市,2010.0,1
77,愛知県名古屋市,2009.0,2
78,愛知県名古屋市,2010.0,2
79,愛知県名古屋市,2011.0,3
80,愛知県大府市,2009.0,1
81,愛知県扶桑町,2011.0,1
82,愛知県豊明市,2009.0,1
83,愛知県豊明市,2011.0,2
84,愛知県高浜市,2010.0,1
85,新潟県上越市,2011.0,1
86,東京都中野区,2011.0,1
87,東京都国立市,2010.0,1
88,東京都江戸川区,2011.0,1
89,東京都町田市,2011.0,1
90,東京都福生市,2010.0,1
91,東京都調布市,2010.0,1
92,沖縄県石垣市,2010.0,1
93,沖縄県石垣市,2011.0,1
94,滋賀県大津市,2009.0,1
95,滋賀県栗東市,2011.0,1
96,滋賀県豊郷町,2009.0,1
97,滋賀県豊郷町,2011.0,1
98,石川県内灘町,2011.0,2
99,石川県加賀市,2011.0,1
100,石川県羽昨市,2010.0,1
101,神奈川県大磯町,2009.0,1
102,神奈川県川崎市,2010.0,1
103,神奈川県松田町,2010.0,1
104,神奈川県横浜市,2009.0,1
105,神奈川県横浜市,2010.0,2
106,神奈川県横須賀市,2011.0,1
107,神奈川県湯河原町,2011.0,1
108,神奈川県藤沢市,2009.0,1
109,神奈川県逗子市,2011.0,1
110,神奈川県鎌倉市,2011.0,1
111,福岡県中間市,2010.0,1
112,福岡県太宰府市,2009.0,1
113,福岡県新宮町,2010.0,1
114,福岡県桂川町,2010.0,1
115,福岡県福岡市,2009.0,1
116,福岡県須恵町,2010.0,1
117,福島県西郷村,2011.0,1
118,群馬県東吾妻町,2009.0,2
119,茨城県取手市,2009.0,1
120,長崎県佐世保市,2011.0,1
121,長崎県壱岐市,2011.0,1
122,長崎県対馬市,2009.0,1
123,長野県千曲市,2009.0,1
124,長野県千曲市,2011.0,1
125,長野県安曇野市,2010.0,1
126,長野県小川村,2011.0,1
127,長野県岡谷市,2011.0,1
128,長野県長野市,2009.0,1
129,長野県飯田市,2011.0,1
130,長野県高森町,2011.0,1
131,静岡県静岡市,2010.0,1
132,香川県丸亀市,2010.0,1
133,高知県四万十町,2010.0,1
134,高知県大川村,2011.0,1
135,高知県大豊町,2009.0,1
136,高知県本山町,2009.0,1
137,高知県高知市,2010.0,1
138,鳥取県日南町,2011.0,3
139,鳥取県鳥取市,2011.0,1
