"","","","","/項目 コード","F1101","F110101","F110102","F1102","F110201","F110202","F1107","F1108","F2116","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1102_就業者数【人】","F110201_就業者数（男）【人】","F110202_就業者数（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2116_就業者数（65歳以上）【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2015100000","2015年度","01512","北海道 浜頓別町","","2122","1186","936","2075","1152","923","47","1285","334","390","512","1153","1609","104","1043","10","556","159","183"
"2015100000","2015年度","01513","北海道 中頓別町","","904","521","383","890","510","380","14","676","170","152","113","582","650","36","435","14","201","84","66"
"2015100000","2015年度","01514","北海道 枝幸町","","4649","2532","2117","4565","2481","2084","84","2781","737","1141","1162","2255","3201","228","2027","34","1140","129","89"
"2015100000","2015年度","01516","北海道 豊富町","","2231","1319","912","2188","1291","897","43","1337","283","552","322","1304","1487","101","951","35","501","204","163"
"2015100000","2015年度","01517","北海道 礼文町","","1838","1071","767","1798","1048","750","40","664","487","652","225","919","1020","53","615","14","391","5","68"
"2015100000","2015年度","01518","北海道 利尻町","","1435","829","606","1407","807","600","28","651","388","437","179","791","888","40","538","21","329","75","79"
"2015100000","2015年度","01519","北海道 利尻富士町","","1645","935","710","1619","923","696","26","797","439","460","263","889","985","80","583","21","381","59","92"
"2015100000","2015年度","01520","北海道 幌延町","","1417","874","543","1391","858","533","26","706","176","261","226","858","1013","42","713","18","282","67","195"
"2015100000","2015年度","01543","北海道 美幌町","","10274","5833","4441","9942","5608","4334","332","7381","1501","1530","1918","6284","7528","462","4796","158","2574","1699","1215"
"2015100000","2015年度","01544","北海道 津別町","","2421","1421","1000","2325","1356","969","96","2151","432","596","525","1196","1691","143","1123","35","533","331","656"
"2015100000","2015年度","01545","北海道 斜里町","","6761","3983","2778","6579","3853","2726","182","4041","958","1461","1240","3877","4852","401","2963","86","1803","288","720"
"2015100000","2015年度","01546","北海道 清里町","","2156","1220","936","2112","1192","920","44","1519","365","741","314","1027","1231","83","795","24","412","296","222"
"2015100000","2015年度","01547","北海道 小清水町","","2777","1509","1268","2724","1481","1243","53","1676","493","1121","305","1280","1584","153","1014","24","546","329","262"
"2015100000","2015年度","01549","北海道 訓子府町","","2728","1465","1263","2681","1430","1251","47","1755","532","1051","364","1260","1481","94","886","24","571","655","567"
"2015100000","2015年度","01550","北海道 置戸町","","1514","813","701","1487","793","694","27","1287","293","480","133","874","953","76","585","0","368","195","244"
"2015100000","2015年度","01552","北海道 佐呂間町","","2824","1505","1319","2767","1472","1295","57","1925","493","836","649","1252","1828","136","1070","75","683","170","368"
"2015100000","2015年度","01555","北海道 遠軽町","","9974","5762","4212","9676","5574","4102","298","8318","1347","778","1820","7000","8024","451","5375","67","2582","926","688"
"2015100000","2015年度","01559","北海道 湧別町","","4912","2700","2212","4775","2610","2165","137","3347","845","1596","997","2169","2936","221","1898","30","1008","555","805"
"2015100000","2015年度","01560","北海道 滝上町","","1289","727","562","1273","717","556","16","1191","211","273","203","796","958","83","622","7","329","74","103"
"2015100000","2015年度","01561","北海道 興部町","","2121","1221","900","2088","1198","890","33","1314","313","564","523","988","1470","111","978","32","460","199","369"
"2015100000","2015年度","01562","北海道 西興部村","","559","323","236","551","316","235","8","436","68","110","99","341","431","25","290","6","135","47","35"
"2015100000","2015年度","01563","北海道 雄武町","","2583","1422","1161","2524","1379","1145","59","1442","393","656","782","1081","1750","137","1279","18","453","102","121"
"2015100000","2015年度","01564","北海道 大空町","","3903","2183","1720","3824","2131","1693","79","2444","720","1524","427","1833","2160","216","1401","39","720","625","852"
"2015100000","2015年度","01571","北海道 豊浦町","","2157","1185","972","2060","1121","939","97","1689","320","530","242","1279","1452","108","917","23","512","572","408"
"2015100000","2015年度","01575","北海道 壮瞥町","","1435","773","662","1390","744","646","45","1201","310","369","109","901","914","80","587","20","307","334","820"
"2015100000","2015年度","01578","北海道 白老町","","7588","4321","3267","7037","3952","3085","551","8400","1101","721","1923","4308","5641","388","3316","111","2214","1501","1832"
