"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","33212","岡山県 瀬戸内市","","10195342","2945376","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33213","岡山県 赤磐市","","12444483","2943419","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33214","岡山県 真庭市","","24101755","4268758","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33215","岡山県 美作市","","17424453","2676371","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33216","岡山県 浅口市","","8932500","2411377","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33346","岡山県 和気町","","5621475","1149715","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33423","岡山県 早島町","","2289019","1024678","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33445","岡山県 里庄町","","2505149","1126546","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33461","岡山県 矢掛町","","4887432","1161117","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33586","岡山県 新庄村","","1287372","497501","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33606","岡山県 鏡野町","","9135854","1280419","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33622","岡山県 勝央町","","3889380","1133376","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33623","岡山県 奈義町","","2960495","417088","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33643","岡山県 西粟倉村","","1593837","92809","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33663","岡山県 久米南町","","3033051","342185","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33666","岡山県 美咲町","","8333722","1063652","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33681","岡山県 吉備中央町","","6896313","787056","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34100","広島県 広島市","","384243118","173132566","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34101","広島県 広島市 中区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34102","広島県 広島市 東区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34103","広島県 広島市 南区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34104","広島県 広島市 西区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34105","広島県 広島市 安佐南区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34106","広島県 広島市 安佐北区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34107","広島県 広島市 安芸区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34108","広島県 広島市 佐伯区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34202","広島県 呉市","","74135912","30448209","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34203","広島県 竹原市","","9267412","4202714","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34204","広島県 三原市","","31036749","12106731","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34205","広島県 尾道市","","44511316","14020974","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","34207","広島県 福山市","","108499821","59933919","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
