"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","07465","福島県 中島村","","1892","1570"
"2019100000","2019年度","07466","福島県 矢吹町","","6040","4936"
"2019100000","2019年度","07481","福島県 棚倉町","","15993","4076"
"2019100000","2019年度","07482","福島県 矢祭町","","11827","2425"
"2019100000","2019年度","07483","福島県 塙町","","21141","3966"
"2019100000","2019年度","07484","福島県 鮫川村","","13134","3093"
"2019100000","2019年度","07501","福島県 石川町","","11571","5648"
"2019100000","2019年度","07502","福島県 玉川村","","4667","2547"
"2019100000","2019年度","07503","福島県 平田村","","9342","3502"
"2019100000","2019年度","07504","福島県 浅川町","","3743","2168"
"2019100000","2019年度","07505","福島県 古殿町","","16329","2935"
"2019100000","2019年度","07521","福島県 三春町","","7276","4936"
"2019100000","2019年度","07522","福島県 小野町","","12518","3902"
"2019100000","2019年度","07541","福島県 広野町","","5869","1478"
"2019100000","2019年度","07542","福島県 楢葉町","","10364","2612"
"2019100000","2019年度","07543","福島県 富岡町","","6839","2759"
"2019100000","2019年度","07544","福島県 川内村","","19735","2419"
"2019100000","2019年度","07545","福島県 大熊町","","7871","2897"
"2019100000","2019年度","07546","福島県 双葉町","","5142","2141"
"2019100000","2019年度","07547","福島県 浪江町","","22314","6250"
"2019100000","2019年度","07548","福島県 葛尾村","","8437","1527"
"2019100000","2019年度","07561","福島県 新地町","","4670","3050"
"2019100000","2019年度","07564","福島県 飯舘村","","23013","5690"
"2019100000","2019年度","08201","茨城県 水戸市","","21732","18258"
"2019100000","2019年度","08202","茨城県 日立市","","22586","10435"
"2019100000","2019年度","08203","茨城県 土浦市","","12289","9863"
"2019100000","2019年度","08204","茨城県 古河市","","12358","11474"
"2019100000","2019年度","08205","茨城県 石岡市","","21553","12600"
"2019100000","2019年度","08207","茨城県 結城市","","6576","6340"
"2019100000","2019年度","08208","茨城県 龍ケ崎市","","7855","6880"
"2019100000","2019年度","08210","茨城県 下妻市","","8088","7705"
"2019100000","2019年度","08211","茨城県 常総市","","12364","11762"
"2019100000","2019年度","08212","茨城県 常陸太田市","","37199","12440"
"2019100000","2019年度","08214","茨城県 高萩市","","19358","3908"
"2019100000","2019年度","08215","茨城県 北茨城市","","18680","5953"
"2019100000","2019年度","08216","茨城県 笠間市","","24040","13993"
"2019100000","2019年度","08217","茨城県 取手市","","6994","6795"
"2019100000","2019年度","08219","茨城県 牛久市","","5892","4798"
"2019100000","2019年度","08220","茨城県 つくば市","","28372","24337"
"2019100000","2019年度","08221","茨城県 ひたちなか市","","9996","9463"
"2019100000","2019年度","08222","茨城県 鹿嶋市","","10602","7978"
"2019100000","2019年度","08223","茨城県 潮来市","","7140","5012"
"2019100000","2019年度","08224","茨城県 守谷市","","3571","3364"
"2019100000","2019年度","08225","茨城県 常陸大宮市","","34845","13303"
